time,question 1,answer 1,question 2,answer 2,question 3,answer 3,question 4,answer 4,question 5,answer 5,question 6,answer 6
1540080,Haydn,Bach,Vivaldi,Sor,Scarlatti,Scarlatti,Vivaldi,Haendel,Haydn,Sor,Haydn,Vivaldi
1540508,Scarlatti,Scarlatti,Stravinsky,Vivaldi,Haydn,Haydn,Haendel,Bach,Vivaldi,Bach,Liszt,Haydn
1540556,Scarlatti,Liszt,Stravinsky,Stravinsky,Haydn,Haendel,Haendel,Vivaldi,Vivaldi,Vivaldi,Liszt,Stravinsky
1540561,Scarlatti,Vivaldi,Haendel,Scarlatti,Vivaldi,Sor,Vivaldi,Haendel,Liszt,Stravinsky,Sor,Stravinsky
1540581,Scarlatti,Vivaldi,Haendel,Stravinsky,Vivaldi,Bach,Vivaldi,Vivaldi,Liszt,Haydn,Sor,Liszt
1541436,Scarlatti,Bach,Haendel,Vivaldi,Haendel,Vivaldi,Sor,Bach,Liszt,Liszt,Liszt,Haendel
1541464,Haydn,Bach,Liszt,Vivaldi,Scarlatti,Vivaldi,Scarlatti,Bach,Bach,Liszt,Sor,Haendel
1541723,Liszt,Stravinsky,Haydn,Haendel,Vivaldi,Scarlatti,Stravinsky,Sor,Sor,Liszt,Scarlatti,Haydn
1542660,Liszt,Scarlatti,Sor,Haydn,Haendel,Haydn,Sor,Stravinsky,Bach,Haendel,Stravinsky,Bach
1542956,Sor,Stravinsky,Liszt,Vivaldi,Haydn,Bach,Stravinsky,Vivaldi,Bach,Scarlatti,Vivaldi,Haendel
1542972,Scarlatti,Scarlatti,Bach,Vivaldi,Haydn,Bach,Liszt,Haydn,Haendel,Haendel,Haendel,Stravinsky
1543299,Haendel,Vivaldi,Haydn,Scarlatti,Bach,Bach,Haendel,Scarlatti,Vivaldi,Vivaldi,Stravinsky,Liszt
1547863,Haendel,Vivaldi,Haydn,Haendel,Haydn,Bach,Haydn,Vivaldi,Scarlatti,Bach,Haydn,Stravinsky
1549795,Scarlatti,Scarlatti,Sor,Sor,Haydn,Bach,Liszt,Scarlatti,Liszt,Liszt,Scarlatti,Bach
1550811,Vivaldi,Vivaldi,Vivaldi,Stravinsky,Haendel,Bach,Scarlatti,Vivaldi,Liszt,Bach,Haendel,Haydn
1619146,Scarlatti,Sor,Scarlatti,Liszt,Scarlatti,Haydn,Haendel,Stravinsky,Haendel,Bach,Sor,Haendel
1619380,Haendel,Liszt,Haendel,Bach,Sor,Scarlatti,Scarlatti,Haendel,Vivaldi,Sor,Scarlatti,Vivaldi
1620023,Sor,Bach,Haendel,Stravinsky,Haydn,Haydn,Liszt,Bach,Scarlatti,Vivaldi,Stravinsky,Liszt
1620082,Stravinsky,Vivaldi,Liszt,Scarlatti,Sor,Bach,Bach,Bach,Sor,Bach,Sor,Liszt
1620961,Scarlatti,Scarlatti,Haydn,Bach,Haydn,Sor,Sor,Stravinsky,Bach,Scarlatti,Haydn,Vivaldi
1626830,Vivaldi,Haendel,Liszt,Liszt,Haydn,Bach,Bach,Vivaldi,Liszt,Vivaldi,Vivaldi,Haendel
1626928,Vivaldi,Haendel,Sor,Haydn,Liszt,Bach,Haendel,Vivaldi,Haendel,Sor,Haydn,Stravinsky
1626957,Vivaldi,Vivaldi,Sor,Scarlatti,Liszt,Stravinsky,Haendel,Liszt,Haendel,Haendel,Haydn,Sor
1634328,Scarlatti,Bach,Haydn,Haydn,Bach,Stravinsky,Liszt,Sor,Haydn,Scarlatti,Stravinsky,Scarlatti
1636178,Haendel,Haendel,Haendel,Sor,Stravinsky,Haydn,Haendel,Liszt,Scarlatti,Bach,Liszt,Sor
1639707,Bach,Haendel,Stravinsky,Liszt,Haendel,Scarlatti,Scarlatti,Liszt,Haydn,Bach,Liszt,Stravinsky
1641233,Scarlatti,Haendel,Stravinsky,Scarlatti,Scarlatti,Haydn,Haendel,Bach,Stravinsky,Stravinsky,Haendel,Vivaldi
1645903,Sor,Haydn,Sor,Vivaldi,Sor,Sor,Scarlatti,Vivaldi,Scarlatti,Bach,Stravinsky,Stravinsky
1675961,Sor,Scarlatti,Sor,Haendel,Haydn,Sor,Bach,Bach,Haydn,Vivaldi,Liszt,Liszt
1681451,Bach,Bach,Stravinsky,Haydn,Vivaldi,Scarlatti,Haendel,Vivaldi,Bach,Scarlatti,Haydn,Vivaldi
1686255,Scarlatti,Haendel,Haendel,Bach,Liszt,Scarlatti,Haendel,Liszt,Sor,Scarlatti,Liszt,Haydn
1702256,Sor,Scarlatti,Liszt,Sor,Stravinsky,Stravinsky,Haydn,Haendel,Sor,Haydn,Haendel,Vivaldi
1702279,Haydn,Haendel,Stravinsky,Liszt,Stravinsky,Vivaldi,Liszt,Bach,Vivaldi,Scarlatti,Liszt,Haydn
1708606,Scarlatti,Stravinsky,Stravinsky,Vivaldi,Scarlatti,Haydn,Haydn,Bach,Scarlatti,Haendel,Scarlatti,Scarlatti
1710243,Stravinsky,Haendel,Stravinsky,Haydn,Sor,Scarlatti,Bach,Stravinsky,Sor,Stravinsky,Haydn,Sor
1710282,Stravinsky,Stravinsky,Stravinsky,Stravinsky,Sor,Sor,Bach,Scarlatti,Sor,Sor,Haydn,Haydn
1710641,Vivaldi,Haendel,Haendel,Liszt,Haydn,Bach,Stravinsky,Sor,Liszt,Liszt,Sor,Stravinsky
1711276,Liszt,Bach,Vivaldi,Sor,Vivaldi,Sor,Vivaldi,Bach,Haydn,Vivaldi,Bach,Haendel
1711525,Vivaldi,Sor,Liszt,Stravinsky,Stravinsky,Scarlatti,Sor,Bach,Vivaldi,Vivaldi,Bach,Haendel
1712764,Bach,Stravinsky,Stravinsky,Vivaldi,Sor,Bach,Liszt,Sor,Scarlatti,Bach,Scarlatti,Vivaldi
1713879,Haydn,Haendel,Sor,Scarlatti,Bach,Bach,Stravinsky,Haydn,Bach,Bach,Sor,Sor
1715507,Vivaldi,Scarlatti,Sor,Bach,Scarlatti,Haendel,Haendel,Stravinsky,Bach,Haendel,Haendel,Sor
1715706,Haendel,Scarlatti,Sor,Bach,Scarlatti,Bach,Scarlatti,Stravinsky,Bach,Liszt,Bach,Haydn
1716843,Vivaldi,Haydn,Haydn,Haendel,Liszt,Sor,Bach,Liszt,Haydn,Haendel,Sor,Bach
1717067,Liszt,Vivaldi,Haydn,Sor,Haydn,Scarlatti,Haendel,Sor,Stravinsky,Bach,Haendel,Haendel
1721827,Liszt,Vivaldi,Haydn,Haendel,Haydn,Stravinsky,Haendel,Haydn,Haendel,Scarlatti,Haendel,Bach
1723067,Vivaldi,Sor,Scarlatti,Liszt,Bach,Vivaldi,Stravinsky,Stravinsky,Liszt,Stravinsky,Haydn,Bach
1723262,Vivaldi,Scarlatti,Liszt,Bach,Haydn,Vivaldi,Scarlatti,Liszt,Stravinsky,Sor,Haydn,Haendel
1726132,Bach,Stravinsky,Liszt,Haendel,Haydn,Liszt,Vivaldi,Bach,Haydn,Scarlatti,Haendel,Haydn
1727477,Scarlatti,Sor,Scarlatti,Scarlatti,Haendel,Haydn,Bach,Haendel,Haendel,Scarlatti,Haendel,Vivaldi
1730867,Stravinsky,Scarlatti,Haendel,Haydn,Haendel,Bach,Bach,Haydn,Scarlatti,Scarlatti,Liszt,Haydn
1732629,Scarlatti,Scarlatti,Liszt,Vivaldi,Sor,Sor,Sor,Haendel,Stravinsky,Stravinsky,Sor,Scarlatti
1756518,Haydn,Vivaldi,Bach,Scarlatti,Bach,Haendel,Haendel,Haydn,Haendel,Sor,Bach,Sor
1762813,Liszt,Vivaldi,Vivaldi,Stravinsky,Sor,Liszt,Liszt,Bach,Liszt,Scarlatti,Stravinsky,Haendel
1762963,Scarlatti,Haendel,Vivaldi,Vivaldi,Scarlatti,Bach,Vivaldi,Haydn,Bach,Scarlatti,Bach,Bach
1768079,Haendel,Haendel,Haydn,Vivaldi,Scarlatti,Stravinsky,Bach,Scarlatti,Vivaldi,Vivaldi,Stravinsky,Bach
1773269,Sor,Liszt,Sor,Haendel,Stravinsky,Vivaldi,Vivaldi,Bach,Haendel,Scarlatti,Scarlatti,Vivaldi
1774126,Bach,Sor,Scarlatti,Bach,Haendel,Vivaldi,Vivaldi,Haydn,Bach,Scarlatti,Sor,Sor
1774192,Stravinsky,Haendel,Haydn,Bach,Haydn,Vivaldi,Haydn,Vivaldi,Liszt,Haendel,Vivaldi,Haydn
1778197,Haydn,Bach,Stravinsky,Haydn,Sor,Haendel,Bach,Scarlatti,Sor,Sor,Scarlatti,Scarlatti
1778410,Haendel,Bach,Liszt,Vivaldi,Vivaldi,Haendel,Stravinsky,Scarlatti,Vivaldi,Vivaldi,Scarlatti,Sor
1778721,Haydn,Haendel,Stravinsky,Bach,Stravinsky,Haydn,Sor,Sor,Liszt,Scarlatti,Stravinsky,Stravinsky
1778832,Haendel,Sor,Sor,Haydn,Sor,Liszt,Stravinsky,Scarlatti,Haydn,Bach,Bach,Haendel
1779619,Haydn,Haendel,Vivaldi,Scarlatti,Scarlatti,Bach,Scarlatti,Stravinsky,Haydn,Scarlatti,Haendel,Bach
1780589,Sor,Haendel,Liszt,Stravinsky,Vivaldi,Vivaldi,Scarlatti,Haydn,Bach,Sor,Sor,Bach
1784128,Scarlatti,Scarlatti,Bach,Haendel,Bach,Sor,Haendel,Sor,Liszt,Bach,Liszt,Scarlatti
1784595,Bach,Scarlatti,Vivaldi,Haendel,Scarlatti,Bach,Bach,Haendel,Haydn,Haydn,Scarlatti,Bach
1786090,Liszt,Haendel,Stravinsky,Vivaldi,Vivaldi,Haydn,Scarlatti,Scarlatti,Haydn,Vivaldi,Stravinsky,Stravinsky
1812756,Sor,Vivaldi,Liszt,Haendel,Haydn,Sor,Bach,Bach,Stravinsky,Bach,Stravinsky,Scarlatti
1815077,Haydn,Vivaldi,Stravinsky,Vivaldi,Scarlatti,Stravinsky,Liszt,Haydn,Stravinsky,Haendel,Scarlatti,Bach
1830606,Vivaldi,Haendel,Haendel,Haydn,Liszt,Bach,Scarlatti,Scarlatti,Scarlatti,Haendel,Stravinsky,Vivaldi
1853722,Haydn,Haendel,Stravinsky,Bach,Bach,Vivaldi,Scarlatti,Vivaldi,Haydn,Scarlatti,Vivaldi,Vivaldi
1886831,Sor,Haendel,Bach,Sor,Haydn,Vivaldi,Scarlatti,Stravinsky,Scarlatti,Liszt,Sor,Haydn
1896863,Haendel,Vivaldi,Vivaldi,Scarlatti,Bach,Stravinsky,Sor,Bach,Sor,Haendel,Bach,Haydn
1985639,Haendel,Vivaldi,Sor,Haendel,Scarlatti,Scarlatti,Haendel,Stravinsky,Haendel,Bach,Haydn,Stravinsky
2022272,Vivaldi,Scarlatti,Haendel,Haendel,Sor,Bach,Scarlatti,Scarlatti,Haendel,Haendel,Sor,Sor
2058021,Haydn,Vivaldi,Stravinsky,Vivaldi,Bach,Vivaldi,Sor,Vivaldi,Liszt,Vivaldi,Vivaldi,Vivaldi
2153247,Bach,Haendel,Stravinsky,Sor,Scarlatti,Bach,Scarlatti,Bach,Vivaldi,Sor,Stravinsky,Bach
2208968,Haydn,Vivaldi,Haendel,Liszt,Haydn,Haydn,Scarlatti,Bach,Sor,Stravinsky,Vivaldi,Bach
2307610,Bach,Stravinsky,Sor,Bach,Haydn,Liszt,Haendel,Haendel,Haydn,Bach,Bach,Vivaldi
2375543,Scarlatti,Haendel,Haydn,Bach,Liszt,Stravinsky,Vivaldi,Haydn,Haendel,Sor,Vivaldi,Scarlatti
2397413,Bach,Vivaldi,Stravinsky,Liszt,Haendel,Bach,Haydn,Haydn,Bach,Bach,Liszt,Liszt
